row_index,relative_path,category,historical_garment_id,corrected_garment_id,historical_fold_id,corrected_fold_id,override_applied
23,A-Line/2-3.tif,A-Line,A-Line__G02,A-Line__G02,0,0,no
24,A-Line/2-4.tif,A-Line,A-Line__G02,A-Line__G02,0,0,no
25,A-Line/2-5.tif,A-Line,A-Line__G02,A-Line__G02,0,0,no
26,A-Line/2-6.tif,A-Line,A-Line__G02,A-Line__G02,0,0,no
27,A-Line/2-7.tif,A-Line,A-Line__G02,A-Line__G02,0,0,no
28,A-Line/2-8.tif,A-Line,A-Line__G02,A-Line__G02,0,0,no
29,A-Line/2-9.tif,A-Line,A-Line__G02,A-Line__G02,0,0,no
30,A-Line/3-1.tif,A-Line,A-Line__G03,A-Line__G03,1,1,no
31,A-Line/3-10.tif,A-Line,A-Line__G03,A-Line__G03,1,1,no
32,A-Line/3-2.tif,A-Line,A-Line__G03,A-Line__G03,1,1,no
33,A-Line/3-3.tif,A-Line,A-Line__G03,A-Line__G03,1,1,no
34,A-Line/3-4.tif,A-Line,A-Line__G03,A-Line__G03,1,1,no
35,A-Line/3-5.tif,A-Line,A-Line__G03,A-Line__G03,1,1,no
36,A-Line/3-6.tif,A-Line,A-Line__G03,A-Line__G03,1,1,no
37,A-Line/3-7.tif,A-Line,A-Line__G03,A-Line__G03,1,1,no
38,A-Line/3-8.tif,A-Line,A-Line__G03,A-Line__G03,1,1,no
39,A-Line/3-9.tif,A-Line,A-Line__G03,A-Line__G03,1,1,no
40,A-Line/4-1.tif,A-Line,A-Line__G04,A-Line__G04,1,1,no
41,A-Line/4-10.tif,A-Line,A-Line__G04,A-Line__G04,1,1,no
42,A-Line/4-2.tif,A-Line,A-Line__G04,A-Line__G04,1,1,no
43,A-Line/4-3.tif,A-Line,A-Line__G04,A-Line__G04,1,1,no
44,A-Line/4-4.tif,A-Line,A-Line__G04,A-Line__G04,1,1,no
45,A-Line/4-5.tif,A-Line,A-Line__G04,A-Line__G04,1,1,no
46,A-Line/4-6.tif,A-Line,A-Line__G04,A-Line__G04,1,1,no
47,A-Line/4-7.tif,A-Line,A-Line__G04,A-Line__G04,1,1,no
48,A-Line/4-8.tif,A-Line,A-Line__G04,A-Line__G04,1,1,no
49,A-Line/4-9.tif,A-Line,A-Line__G04,A-Line__G04,1,1,no
50,A-Line/5-1.tif,A-Line,A-Line__G05,A-Line__G05,2,2,no
51,A-Line/5-10.tif,A-Line,A-Line__G05,A-Line__G05,2,2,no
52,A-Line/5-2.tif,A-Line,A-Line__G05,A-Line__G05,2,2,no
53,A-Line/5-3.tif,A-Line,A-Line__G05,A-Line__G05,2,2,no
54,A-Line/5-4.tif,A-Line,A-Line__G05,A-Line__G05,2,2,no
55,A-Line/5-5.tif,A-Line,A-Line__G05,A-Line__G05,2,2,no
56,A-Line/5-6.tif,A-Line,A-Line__G05,A-Line__G05,2,2,no
57,A-Line/5-7.tif,A-Line,A-Line__G05,A-Line__G05,2,2,no
58,A-Line/5-8.tif,A-Line,A-Line__G05,A-Line__G05,2,2,no
59,A-Line/5-9.tif,A-Line,A-Line__G05,A-Line__G05,2,2,no
60,A-Line/6-1.tif,A-Line,A-Line__G06,A-Line__G06,2,2,no
61,A-Line/6-10.tif,A-Line,A-Line__G06,A-Line__G06,2,2,no
62,A-Line/6-2.tif,A-Line,A-Line__G06,A-Line__G06,2,2,no
63,A-Line/6-3.tif,A-Line,A-Line__G06,A-Line__G06,2,2,no
64,A-Line/6-4.tif,A-Line,A-Line__G06,A-Line__G06,2,2,no
65,A-Line/6-5.tif,A-Line,A-Line__G06,A-Line__G06,2,2,no
66,A-Line/6-6.tif,A-Line,A-Line__G06,A-Line__G06,2,2,no
67,A-Line/6-7.tif,A-Line,A-Line__G06,A-Line__G06,2,2,no
68,A-Line/6-8.tif,A-Line,A-Line__G06,A-Line__G06,2,2,no
69,A-Line/6-9.tif,A-Line,A-Line__G06,A-Line__G06,2,2,no
70,A-Line/7-1.tif,A-Line,A-Line__G07,A-Line__G07,3,3,no
71,A-Line/7-10.tif,A-Line,A-Line__G07,A-Line__G07,3,3,no
72,A-Line/7-2.tif,A-Line,A-Line__G07,A-Line__G07,3,3,no
73,A-Line/7-3.tif,A-Line,A-Line__G07,A-Line__G07,3,3,no
74,A-Line/7-4.tif,A-Line,A-Line__G07,A-Line__G07,3,3,no
75,A-Line/7-5.tif,A-Line,A-Line__G07,A-Line__G07,3,3,no
76,A-Line/7-6.tif,A-Line,A-Line__G07,A-Line__G07,3,3,no
77,A-Line/7-7.tif,A-Line,A-Line__G07,A-Line__G07,3,3,no
78,A-Line/7-8.tif,A-Line,A-Line__G07,A-Line__G07,3,3,no
79,A-Line/7-9.tif,A-Line,A-Line__G07,A-Line__G07,3,3,no
80,A-Line/8-1.tif,A-Line,A-Line__G08,A-Line__G08,3,3,no
81,A-Line/8-10.tif,A-Line,A-Line__G08,A-Line__G08,3,3,no
82,A-Line/8-2.tif,A-Line,A-Line__G08,A-Line__G08,3,3,no
83,A-Line/8-3.tif,A-Line,A-Line__G08,A-Line__G08,3,3,no
84,A-Line/8-4.tif,A-Line,A-Line__G08,A-Line__G08,3,3,no
85,A-Line/8-5.tif,A-Line,A-Line__G08,A-Line__G08,3,3,no
86,A-Line/8-6.tif,A-Line,A-Line__G08,A-Line__G08,3,3,no
87,A-Line/8-7.tif,A-Line,A-Line__G08,A-Line__G08,3,3,no
88,A-Line/8-8.tif,A-Line,A-Line__G08,A-Line__G08,3,3,no
89,A-Line/8-9.tif,A-Line,A-Line__G08,A-Line__G08,3,3,no
90,A-Line/9-1.tif,A-Line,A-Line__G09,A-Line__G09,4,4,no
91,A-Line/9-10.tif,A-Line,A-Line__G09,A-Line__G09,4,4,no
92,A-Line/9-2.tif,A-Line,A-Line__G09,A-Line__G09,4,4,no
93,A-Line/9-3.tif,A-Line,A-Line__G09,A-Line__G09,4,4,no
94,A-Line/9-4.tif,A-Line,A-Line__G09,A-Line__G09,4,4,no
95,A-Line/9-5.tif,A-Line,A-Line__G09,A-Line__G09,4,4,no
96,A-Line/9-6.tif,A-Line,A-Line__G09,A-Line__G09,4,4,no
97,A-Line/9-7.tif,A-Line,A-Line__G09,A-Line__G09,4,4,no
98,A-Line/9-8.tif,A-Line,A-Line__G09,A-Line__G09,4,4,no
99,A-Line/9-9.tif,A-Line,A-Line__G09,A-Line__G09,4,4,no
100,Bermuda/1-1.tif,Bermuda,Bermuda__G01,Bermuda__G01,0,0,no
101,Bermuda/1-10.tif,Bermuda,Bermuda__G01,Bermuda__G01,0,0,no
102,Bermuda/1-2.tif,Bermuda,Bermuda__G01,Bermuda__G01,0,0,no
103,Bermuda/1-3.tif,Bermuda,Bermuda__G01,Bermuda__G01,0,0,no
104,Bermuda/1-4.tif,Bermuda,Bermuda__G01,Bermuda__G01,0,0,no
105,Bermuda/1-5.tif,Bermuda,Bermuda__G01,Bermuda__G01,0,0,no
106,Bermuda/1-6.tif,Bermuda,Bermuda__G01,Bermuda__G01,0,0,no
107,Bermuda/1-7.tif,Bermuda,Bermuda__G01,Bermuda__G01,0,0,no
108,Bermuda/1-8.tif,Bermuda,Bermuda__G01,Bermuda__G01,0,0,no
109,Bermuda/1-9.tif,Bermuda,Bermuda__G01,Bermuda__G01,0,0,no
110,Bermuda/10-1.tif,Bermuda,Bermuda__G10,Bermuda__G10,4,4,no
111,Bermuda/10-10.tif,Bermuda,Bermuda__G10,Bermuda__G10,4,4,no
112,Bermuda/10-2.tif,Bermuda,Bermuda__G10,Bermuda__G10,4,4,no
113,Bermuda/10-3.tif,Bermuda,Bermuda__G10,Bermuda__G10,4,4,no
114,Bermuda/10-4.tif,Bermuda,Bermuda__G10,Bermuda__G10,4,4,no
115,Bermuda/10-5.tif,Bermuda,Bermuda__G10,Bermuda__G10,4,4,no
116,Bermuda/10-6.tif,Bermuda,Bermuda__G10,Bermuda__G10,4,4,no
117,Bermuda/10-7.tif,Bermuda,Bermuda__G10,Bermuda__G10,4,4,no
118,Bermuda/10-8.tif,Bermuda,Bermuda__G10,Bermuda__G10,4,4,no
119,Bermuda/10-9.tif,Bermuda,Bermuda__G10,Bermuda__G10,4,4,no
120,Bermuda/2-1.tif,Bermuda,Bermuda__G02,Bermuda__G02,0,0,no
121,Bermuda/2-10.tif,Bermuda,Bermuda__G02,Bermuda__G02,0,0,no
122,Bermuda/2-2.tif,Bermuda,Bermuda__G02,Bermuda__G02,0,0,no
123,Bermuda/2-3.tif,Bermuda,Bermuda__G02,Bermuda__G02,0,0,no
124,Bermuda/2-4.tif,Bermuda,Bermuda__G02,Bermuda__G02,0,0,no
125,Bermuda/2-5.tif,Bermuda,Bermuda__G02,Bermuda__G02,0,0,no
126,Bermuda/2-6.tif,Bermuda,Bermuda__G02,Bermuda__G02,0,0,no
127,Bermuda/2-7.tif,Bermuda,Bermuda__G02,Bermuda__G02,0,0,no
128,Bermuda/2-8.tif,Bermuda,Bermuda__G02,Bermuda__G02,0,0,no
129,Bermuda/2-9.tif,Bermuda,Bermuda__G02,Bermuda__G02,0,0,no
130,Bermuda/3-1.tif,Bermuda,Bermuda__G03,Bermuda__G03,1,1,no
131,Bermuda/3-10.tif,Bermuda,Bermuda__G03,Bermuda__G03,1,1,no
132,Bermuda/3-2.tif,Bermuda,Bermuda__G03,Bermuda__G03,1,1,no
133,Bermuda/3-3.tif,Bermuda,Bermuda__G03,Bermuda__G03,1,1,no
134,Bermuda/3-4.tif,Bermuda,Bermuda__G03,Bermuda__G03,1,1,no
135,Bermuda/3-5.tif,Bermuda,Bermuda__G03,Bermuda__G03,1,1,no
136,Bermuda/3-6.tif,Bermuda,Bermuda__G03,Bermuda__G03,1,1,no
137,Bermuda/3-7.tif,Bermuda,Bermuda__G03,Bermuda__G03,1,1,no
138,Bermuda/3-8.tif,Bermuda,Bermuda__G03,Bermuda__G03,1,1,no
139,Bermuda/3-9.tif,Bermuda,Bermuda__G03,Bermuda__G03,1,1,no
140,Bermuda/4-1.tif,Bermuda,Bermuda__G04,Bermuda__G04,1,1,no
141,Bermuda/4-10.tif,Bermuda,Bermuda__G04,Bermuda__G04,1,1,no
142,Bermuda/4-2.tif,Bermuda,Bermuda__G04,Bermuda__G04,1,1,no
143,Bermuda/4-3.tif,Bermuda,Bermuda__G04,Bermuda__G04,1,1,no
144,Bermuda/4-4.tif,Bermuda,Bermuda__G04,Bermuda__G04,1,1,no
145,Bermuda/4-5.tif,Bermuda,Bermuda__G04,Bermuda__G04,1,1,no
146,Bermuda/4-6.tif,Bermuda,Bermuda__G04,Bermuda__G04,1,1,no
147,Bermuda/4-7.tif,Bermuda,Bermuda__G04,Bermuda__G04,1,1,no
148,Bermuda/4-8.tif,Bermuda,Bermuda__G04,Bermuda__G04,1,1,no
149,Bermuda/4-9.tif,Bermuda,Bermuda__G04,Bermuda__G04,1,1,no
150,Bermuda/5-1.tif,Bermuda,Bermuda__G05,Bermuda__G05,2,2,no
151,Bermuda/5-10.tif,Bermuda,Bermuda__G05,Bermuda__G05,2,2,no
152,Bermuda/5-2.tif,Bermuda,Bermuda__G05,Bermuda__G05,2,2,no
153,Bermuda/5-3.tif,Bermuda,Bermuda__G05,Bermuda__G05,2,2,no
154,Bermuda/5-4.tif,Bermuda,Bermuda__G05,Bermuda__G05,2,2,no
155,Bermuda/5-5.tif,Bermuda,Bermuda__G05,Bermuda__G05,2,2,no
156,Bermuda/5-6.tif,Bermuda,Bermuda__G05,Bermuda__G05,2,2,no
157,Bermuda/5-7.tif,Bermuda,Bermuda__G05,Bermuda__G05,2,2,no
158,Bermuda/5-8.tif,Bermuda,Bermuda__G05,Bermuda__G05,2,2,no
159,Bermuda/5-9.tif,Bermuda,Bermuda__G05,Bermuda__G05,2,2,no
160,Bermuda/6-1.tif,Bermuda,Bermuda__G06,Bermuda__G06,2,2,no
161,Bermuda/6-10.tif,Bermuda,Bermuda__G06,Bermuda__G06,2,2,no
162,Bermuda/6-2.tif,Bermuda,Bermuda__G06,Bermuda__G06,2,2,no
163,Bermuda/6-3.tif,Bermuda,Bermuda__G06,Bermuda__G06,2,2,no
164,Bermuda/6-4.tif,Bermuda,Bermuda__G06,Bermuda__G06,2,2,no
165,Bermuda/6-5.tif,Bermuda,Bermuda__G06,Bermuda__G06,2,2,no
166,Bermuda/6-6.tif,Bermuda,Bermuda__G06,Bermuda__G06,2,2,no
167,Bermuda/6-7.tif,Bermuda,Bermuda__G06,Bermuda__G06,2,2,no
168,Bermuda/6-8.tif,Bermuda,Bermuda__G06,Bermuda__G06,2,2,no
169,Bermuda/6-9.tif,Bermuda,Bermuda__G06,Bermuda__G06,2,2,no
170,Bermuda/7-1.tif,Bermuda,Bermuda__G07,Bermuda__G07,3,3,no
171,Bermuda/7-10.tif,Bermuda,Bermuda__G07,Bermuda__G07,3,3,no
172,Bermuda/7-2.tif,Bermuda,Bermuda__G07,Bermuda__G07,3,3,no
173,Bermuda/7-3.tif,Bermuda,Bermuda__G07,Bermuda__G07,3,3,no
174,Bermuda/7-4.tif,Bermuda,Bermuda__G07,Bermuda__G07,3,3,no
175,Bermuda/7-5.tif,Bermuda,Bermuda__G07,Bermuda__G07,3,3,no
176,Bermuda/7-6.tif,Bermuda,Bermuda__G07,Bermuda__G07,3,3,no
177,Bermuda/7-7.tif,Bermuda,Bermuda__G07,Bermuda__G07,3,3,no
178,Bermuda/7-8.tif,Bermuda,Bermuda__G07,Bermuda__G07,3,3,no
179,Bermuda/7-9.tif,Bermuda,Bermuda__G07,Bermuda__G07,3,3,no
180,Bermuda/8-1.tif,Bermuda,Bermuda__G08,Bermuda__G08,3,3,no
181,Bermuda/8-10.tif,Bermuda,Bermuda__G08,Bermuda__G08,3,3,no
182,Bermuda/8-2.tif,Bermuda,Bermuda__G08,Bermuda__G08,3,3,no
183,Bermuda/8-3.tif,Bermuda,Bermuda__G08,Bermuda__G08,3,3,no
184,Bermuda/8-4.tif,Bermuda,Bermuda__G08,Bermuda__G08,3,3,no
185,Bermuda/8-5.tif,Bermuda,Bermuda__G08,Bermuda__G08,3,3,no
186,Bermuda/8-6.tif,Bermuda,Bermuda__G08,Bermuda__G08,3,3,no
187,Bermuda/8-7.tif,Bermuda,Bermuda__G08,Bermuda__G08,3,3,no
188,Bermuda/8-8.tif,Bermuda,Bermuda__G08,Bermuda__G08,3,3,no
189,Bermuda/8-9.tif,Bermuda,Bermuda__G08,Bermuda__G08,3,3,no
190,Bermuda/9-1.tif,Bermuda,Bermuda__G09,Bermuda__G09,4,4,no
191,Bermuda/9-10.tif,Bermuda,Bermuda__G09,Bermuda__G09,4,4,no
192,Bermuda/9-2.tif,Bermuda,Bermuda__G09,Bermuda__G09,4,4,no
193,Bermuda/9-3.tif,Bermuda,Bermuda__G09,Bermuda__G09,4,4,no
194,Bermuda/9-4.tif,Bermuda,Bermuda__G09,Bermuda__G09,4,4,no
195,Bermuda/9-5.tif,Bermuda,Bermuda__G09,Bermuda__G09,4,4,no
196,Bermuda/9-6.tif,Bermuda,Bermuda__G09,Bermuda__G09,4,4,no
197,Bermuda/9-7.tif,Bermuda,Bermuda__G09,Bermuda__G09,4,4,no
198,Bermuda/9-8.tif,Bermuda,Bermuda__G09,Bermuda__G09,4,4,no
199,Bermuda/9-9.tif,Bermuda,Bermuda__G09,Bermuda__G09,4,4,no
200,Blouse/1-1.tif,Blouse,Blouse__G01,Blouse__G01,0,0,no
201,Blouse/1-10.tif,Blouse,Blouse__G01,Blouse__G01,0,0,no
202,Blouse/1-2.tif,Blouse,Blouse__G01,Blouse__G01,0,0,no
203,Blouse/1-3.tif,Blouse,Blouse__G01,Blouse__G01,0,0,no
204,Blouse/1-4.tif,Blouse,Blouse__G01,Blouse__G01,0,0,no
205,Blouse/1-5.tif,Blouse,Blouse__G01,Blouse__G01,0,0,no
206,Blouse/1-6.tif,Blouse,Blouse__G01,Blouse__G01,0,0,no
207,Blouse/1-7.tif,Blouse,Blouse__G01,Blouse__G01,0,0,no
208,Blouse/1-8.tif,Blouse,Blouse__G01,Blouse__G01,0,0,no
209,Blouse/1-9.tif,Blouse,Blouse__G01,Blouse__G01,0,0,no
210,Blouse/10-1.tif,Blouse,Blouse__G10,Blouse__G10,4,4,no
211,Blouse/10-10.tif,Blouse,Blouse__G10,Blouse__G10,4,4,no
212,Blouse/10-2.tif,Blouse,Blouse__G10,Blouse__G10,4,4,no
213,Blouse/10-3.tif,Blouse,Blouse__G10,Blouse__G10,4,4,no
214,Blouse/10-4.tif,Blouse,Blouse__G10,Blouse__G10,4,4,no
215,Blouse/10-5.tif,Blouse,Blouse__G10,Blouse__G10,4,4,no
216,Blouse/10-6.tif,Blouse,Blouse__G10,Blouse__G10,4,4,no
217,Blouse/10-7.tif,Blouse,Blouse__G10,Blouse__G10,4,4,no
218,Blouse/10-8.tif,Blouse,Blouse__G10,Blouse__G10,4,4,no
219,Blouse/10-9.tif,Blouse,Blouse__G10,Blouse__G10,4,4,no
220,Blouse/2-1.tif,Blouse,Blouse__G02,Blouse__G02,0,0,no
221,Blouse/2-10.tif,Blouse,Blouse__G02,Blouse__G02,0,0,no
222,Blouse/2-2.tif,Blouse,Blouse__G02,Blouse__G02,0,0,no
223,Blouse/2-3.tif,Blouse,Blouse__G02,Blouse__G02,0,0,no
224,Blouse/2-4.tif,Blouse,Blouse__G02,Blouse__G02,0,0,no
225,Blouse/2-5.tif,Blouse,Blouse__G02,Blouse__G02,0,0,no
226,Blouse/2-6.tif,Blouse,Blouse__G02,Blouse__G02,0,0,no
227,Blouse/2-7.tif,Blouse,Blouse__G02,Blouse__G02,0,0,no
228,Blouse/2-8.tif,Blouse,Blouse__G02,Blouse__G02,0,0,no
229,Blouse/2-9.tif,Blouse,Blouse__G02,Blouse__G02,0,0,no
230,Blouse/3-1.tif,Blouse,Blouse__G03,Blouse__G03,1,1,no
231,Blouse/3-10.tif,Blouse,Blouse__G03,Blouse__G03,1,1,no
232,Blouse/3-2.tif,Blouse,Blouse__G03,Blouse__G03,1,1,no
233,Blouse/3-3.tif,Blouse,Blouse__G03,Blouse__G03,1,1,no
234,Blouse/3-4.tif,Blouse,Blouse__G03,Blouse__G03,1,1,no
235,Blouse/3-5.tif,Blouse,Blouse__G03,Blouse__G03,1,1,no
236,Blouse/3-6.tif,Blouse,Blouse__G03,Blouse__G03,1,1,no
237,Blouse/3-7.tif,Blouse,Blouse__G03,Blouse__G03,1,1,no
238,Blouse/3-8.tif,Blouse,Blouse__G03,Blouse__G03,1,1,no
239,Blouse/3-9.tif,Blouse,Blouse__G03,Blouse__G03,1,1,no
240,Blouse/4-1.tif,Blouse,Blouse__G04,Blouse__G04,1,1,no
241,Blouse/4-10.tif,Blouse,Blouse__G04,Blouse__G04,1,1,no
242,Blouse/4-2.tif,Blouse,Blouse__G04,Blouse__G04,1,1,no
243,Blouse/4-3.tif,Blouse,Blouse__G04,Blouse__G04,1,1,no
244,Blouse/4-4.tif,Blouse,Blouse__G04,Blouse__G04,1,1,no
245,Blouse/4-5.tif,Blouse,Blouse__G04,Blouse__G04,1,1,no
246,Blouse/4-6.tif,Blouse,Blouse__G04,Blouse__G04,1,1,no
247,Blouse/4-7.tif,Blouse,Blouse__G04,Blouse__G04,1,1,no
248,Blouse/4-8.tif,Blouse,Blouse__G04,Blouse__G04,1,1,no
249,Blouse/4-9.tif,Blouse,Blouse__G04,Blouse__G04,1,1,no
250,Blouse/5-1.tif,Blouse,Blouse__G05,Blouse__G05,2,2,no
251,Blouse/5-10.tif,Blouse,Blouse__G05,Blouse__G05,2,2,no
252,Blouse/5-2.tif,Blouse,Blouse__G05,Blouse__G05,2,2,no
253,Blouse/5-3.tif,Blouse,Blouse__G05,Blouse__G05,2,2,no
254,Blouse/5-4.tif,Blouse,Blouse__G05,Blouse__G05,2,2,no
255,Blouse/5-5.tif,Blouse,Blouse__G05,Blouse__G05,2,2,no
256,Blouse/5-6.tif,Blouse,Blouse__G05,Blouse__G05,2,2,no
257,Blouse/5-7.tif,Blouse,Blouse__G05,Blouse__G05,2,2,no
258,Blouse/5-8.tif,Blouse,Blouse__G05,Blouse__G05,2,2,no
259,Blouse/5-9.tif,Blouse,Blouse__G05,Blouse__G05,2,2,no
260,Blouse/6-1.tif,Blouse,Blouse__G06,Blouse__G06,2,2,no
261,Blouse/6-10.tif,Blouse,Blouse__G06,Blouse__G06,2,2,no
262,Blouse/6-2.tif,Blouse,Blouse__G06,Blouse__G06,2,2,no
263,Blouse/6-3.tif,Blouse,Blouse__G06,Blouse__G06,2,2,no
264,Blouse/6-4.tif,Blouse,Blouse__G06,Blouse__G06,2,2,no
265,Blouse/6-5.tif,Blouse,Blouse__G06,Blouse__G06,2,2,no
266,Blouse/6-6.tif,Blouse,Blouse__G06,Blouse__G06,2,2,no
267,Blouse/6-7.tif,Blouse,Blouse__G06,Blouse__G06,2,2,no
268,Blouse/6-8.tif,Blouse,Blouse__G06,Blouse__G06,2,2,no
269,Blouse/6-9.tif,Blouse,Blouse__G06,Blouse__G06,2,2,no
270,Blouse/7-1.tif,Blouse,Blouse__G07,Blouse__G07,3,3,no
271,Blouse/7-10.tif,Blouse,Blouse__G07,Blouse__G07,3,3,no
272,Blouse/7-2.tif,Blouse,Blouse__G07,Blouse__G07,3,3,no
273,Blouse/7-3.tif,Blouse,Blouse__G07,Blouse__G07,3,3,no
274,Blouse/7-4.tif,Blouse,Blouse__G07,Blouse__G07,3,3,no
275,Blouse/7-5.tif,Blouse,Blouse__G07,Blouse__G07,3,3,no
276,Blouse/7-6.tif,Blouse,Blouse__G07,Blouse__G07,3,3,no
277,Blouse/7-7.tif,Blouse,Blouse__G07,Blouse__G07,3,3,no
278,Blouse/7-8.tif,Blouse,Blouse__G07,Blouse__G07,3,3,no
279,Blouse/7-9.tif,Blouse,Blouse__G07,Blouse__G07,3,3,no
280,Blouse/8-1.tif,Blouse,Blouse__G08,Blouse__G08,3,3,no
281,Blouse/8-10.tif,Blouse,Blouse__G08,Blouse__G08,3,3,no
282,Blouse/8-2.tif,Blouse,Blouse__G08,Blouse__G08,3,3,no
283,Blouse/8-3.tif,Blouse,Blouse__G08,Blouse__G08,3,3,no
284,Blouse/8-4.tif,Blouse,Blouse__G08,Blouse__G08,3,3,no
285,Blouse/8-5.tif,Blouse,Blouse__G08,Blouse__G08,3,3,no
286,Blouse/8-6.tif,Blouse,Blouse__G08,Blouse__G08,3,3,no
287,Blouse/8-7.tif,Blouse,Blouse__G08,Blouse__G08,3,3,no
288,Blouse/8-8.tif,Blouse,Blouse__G08,Blouse__G08,3,3,no
289,Blouse/8-9.tif,Blouse,Blouse__G08,Blouse__G08,3,3,no
290,Blouse/9-1.tif,Blouse,Blouse__G09,Blouse__G09,4,4,no
291,Blouse/9-10.tif,Blouse,Blouse__G09,Blouse__G09,4,4,no
292,Blouse/9-2.tif,Blouse,Blouse__G09,Blouse__G09,4,4,no
293,Blouse/9-3.tif,Blouse,Blouse__G09,Blouse__G09,4,4,no
294,Blouse/9-4.tif,Blouse,Blouse__G09,Blouse__G09,4,4,no
295,Blouse/9-5.tif,Blouse,Blouse__G09,Blouse__G09,4,4,no
296,Blouse/9-6.tif,Blouse,Blouse__G09,Blouse__G09,4,4,no
297,Blouse/9-7.tif,Blouse,Blouse__G09,Blouse__G09,4,4,no
298,Blouse/9-8.tif,Blouse,Blouse__G09,Blouse__G09,4,4,no
299,Blouse/9-9.tif,Blouse,Blouse__G09,Blouse__G09,4,4,no
300,Cardigan/1-1.tif,Cardigan,Cardigan__G01,Cardigan__G01,0,0,no
301,Cardigan/1-10.tif,Cardigan,Cardigan__G01,Cardigan__G01,0,0,no
302,Cardigan/1-2.tif,Cardigan,Cardigan__G01,Cardigan__G01,0,0,no
303,Cardigan/1-3.tif,Cardigan,Cardigan__G01,Cardigan__G01,0,0,no
304,Cardigan/1-4.tif,Cardigan,Cardigan__G01,Cardigan__G01,0,0,no
305,Cardigan/1-5.tif,Cardigan,Cardigan__G01,Cardigan__G01,0,0,no
306,Cardigan/1-6.tif,Cardigan,Cardigan__G01,Cardigan__G01,0,0,no
307,Cardigan/1-7.tif,Cardigan,Cardigan__G01,Cardigan__G01,0,0,no
308,Cardigan/1-8.tif,Cardigan,Cardigan__G01,Cardigan__G01,0,0,no
309,Cardigan/1-9.tif,Cardigan,Cardigan__G01,Cardigan__G01,0,0,no
310,Cardigan/10-1.tif,Cardigan,Cardigan__G10,Cardigan__G10,4,4,no
311,Cardigan/10-10.tif,Cardigan,Cardigan__G10,Cardigan__G10,4,4,no
312,Cardigan/10-2.tif,Cardigan,Cardigan__G10,Cardigan__G10,4,4,no
313,Cardigan/10-3.tif,Cardigan,Cardigan__G10,Cardigan__G10,4,4,no
314,Cardigan/10-4.tif,Cardigan,Cardigan__G10,Cardigan__G10,4,4,no
315,Cardigan/10-5.tif,Cardigan,Cardigan__G10,Cardigan__G10,4,4,no
316,Cardigan/10-6.tif,Cardigan,Cardigan__G10,Cardigan__G10,4,4,no
317,Cardigan/10-7.tif,Cardigan,Cardigan__G10,Cardigan__G10,4,4,no
318,Cardigan/10-8.tif,Cardigan,Cardigan__G10,Cardigan__G10,4,4,no
319,Cardigan/10-9.tif,Cardigan,Cardigan__G10,Cardigan__G10,4,4,no
320,Cardigan/2-1.tif,Cardigan,Cardigan__G02,Cardigan__G02,0,0,no
321,Cardigan/2-10.tif,Cardigan,Cardigan__G02,Cardigan__G02,0,0,no
322,Cardigan/2-2.tif,Cardigan,Cardigan__G02,Cardigan__G02,0,0,no
323,Cardigan/2-3.tif,Cardigan,Cardigan__G02,Cardigan__G02,0,0,no
324,Cardigan/2-4.tif,Cardigan,Cardigan__G02,Cardigan__G02,0,0,no
325,Cardigan/2-5.tif,Cardigan,Cardigan__G02,Cardigan__G02,0,0,no
