category,corrected_garment_id,fold_id,n_sketches
Mermaid,Mermaid__G03,1,10
Mermaid,Mermaid__G04,1,10
Mermaid,Mermaid__G05,2,10
Mermaid,Mermaid__G06,2,10
Mermaid,Mermaid__G07,3,10
Mermaid,Mermaid__G08,3,10
Mermaid,Mermaid__G09,4,10
Mermaid,Mermaid__G10,4,10
Mini,Mini__G01,0,10
Mini,Mini__G02,0,10
Mini,Mini__G03,1,10
Mini,Mini__G04,1,10
Mini,Mini__G05,2,10
Mini,Mini__G06,2,10
Mini,Mini__G07,3,10
Mini,Mini__G08,3,10
Mini,Mini__G09,4,10
Mini,Mini__G10,4,10
Pencil,Pencil__G01,0,10
Pencil,Pencil__G02,0,10
Pencil,Pencil__G03,1,10
Pencil,Pencil__G04,1,10
Pencil,Pencil__G05,2,10
Pencil,Pencil__G06,2,10
Pencil,Pencil__G07,3,10
Pencil,Pencil__G08,3,10
Pencil,Pencil__G09,4,10
Pencil,Pencil__G10,4,10
Sarong,Sarong__G01,0,10
Sarong,Sarong__G02,0,10
Sarong,Sarong__G03,1,10
Sarong,Sarong__G04,1,10
Sarong,Sarong__G05,2,10
Sarong,Sarong__G06,2,10
Sarong,Sarong__G07,3,10
Sarong,Sarong__G08,3,10
Sarong,Sarong__G09,4,10
Sarong,Sarong__G10,4,10
Shirt,Shirt__G01,0,10
Shirt,Shirt__G02,0,10
Shirt,Shirt__G03,1,10
Shirt,Shirt__G04,1,10
Shirt,Shirt__G05,2,10
Shirt,Shirt__G06,2,10
Shirt,Shirt__G07,3,10
Shirt,Shirt__G08,3,10
Shirt,Shirt__G09,4,10
Shirt,Shirt__G10,4,10
Skinny,Skinny__G01,0,10
Skinny,Skinny__G02,0,10
Skinny,Skinny__G03,1,10
Skinny,Skinny__G04,1,10
Skinny,Skinny__G05,2,10
Skinny,Skinny__G06,2,10
Skinny,Skinny__G07,3,10
Skinny,Skinny__G08,3,10
Skinny,Skinny__G09,4,10
Skinny,Skinny__G10,4,10
Straight,Straight__G01,0,10
Straight,Straight__G02,0,10
Straight,Straight__G03,1,10
Straight,Straight__G04,1,10
Straight,Straight__G05,2,10
Straight,Straight__G06,2,10
Straight,Straight__G07,3,10
Straight,Straight__G08,3,10
Straight,Straight__G09,4,10
Straight,Straight__G10,4,10
Suit,Suit__G01,0,10
Suit,Suit__G02,0,10
Suit,Suit__G03,1,10
Suit,Suit__G04,1,10
Suit,Suit__G05,2,10
Suit,Suit__G06,2,10
Suit,Suit__G07,3,10
Suit,Suit__G08,3,10
Suit,Suit__G09,4,10
Suit,Suit__G10,4,10
T-shirt,T-shirt__G01,0,10
T-shirt,T-shirt__G02,0,10
T-shirt,T-shirt__G03,1,10
T-shirt,T-shirt__G04,1,10
T-shirt,T-shirt__G05,2,10
T-shirt,T-shirt__G06,2,10
T-shirt,T-shirt__G07,3,10
T-shirt,T-shirt__G08,3,10
T-shirt,T-shirt__G09,4,10
T-shirt,T-shirt__G10,4,10
Tunic,Tunic__G01,0,10
Tunic,Tunic__G02,0,10
Tunic,Tunic__G03,1,10
Tunic,Tunic__G04,1,10
Tunic,Tunic__G05,2,10
Tunic,Tunic__G06,2,10
Tunic,Tunic__G07,3,10
Tunic,Tunic__G08,3,10
Tunic,Tunic__G09,4,10
Tunic,Tunic__G10,4,10
Vest,Vest__G01,0,10
Vest,Vest__G02,0,10
Vest,Vest__G03,1,10
Vest,Vest__G04,1,10
Vest,Vest__G05,2,10
Vest,Vest__G06,2,10
Vest,Vest__G07,3,10
Vest,Vest__G08,3,10
Vest,Vest__G09,4,10
Vest,Vest__G10,4,10
Wide-Leg,Wide-Leg__G01,0,10
Wide-Leg,Wide-Leg__G02,0,10
Wide-Leg,Wide-Leg__G03,1,10
Wide-Leg,Wide-Leg__G04,1,10
Wide-Leg,Wide-Leg__G05,2,10
Wide-Leg,Wide-Leg__G06,2,10
Wide-Leg,Wide-Leg__G07,3,10
Wide-Leg,Wide-Leg__G08,3,10
Wide-Leg,Wide-Leg__G09,4,10
Wide-Leg,Wide-Leg__G10,4,10
