row_index,relative_path,category,corrected_garment_id,corrected_fold_id,clean_image_relative_path,clean_png_sha256,target_text_status,other_text_visible,review_note
14,A-Line/10-4.tif,A-Line,A-Line__G10,4,images/0014.png,13926ae7effba2a7bb29e05f5817d871997b843cbb20cb7484d19d9ea122d587,NONE,False,
15,A-Line/10-5.tif,A-Line,A-Line__G10,4,images/0015.png,2c27d8e0fecb24981978d19700ce2e39b7e12cfd500faa274bcf9bc229e30972,NONE,False,
16,A-Line/10-6.tif,A-Line,A-Line__G10,4,images/0016.png,d67181534db9502621bf0fc2b7d0482ba0f08b92c164f83fd0fa123f10383e29,NONE,False,
17,A-Line/10-7.tif,A-Line,A-Line__G10,4,images/0017.png,5a4b304ef9e6ad92f587b43bad699776a0918e133da598f64a8c40c272d57fc7,NONE,False,
18,A-Line/10-8.tif,A-Line,A-Line__G10,4,images/0018.png,4ff969d4328446167dacd110e6d4ddea8389afd2d5d720e148425aea5cc743ab,NONE,False,
19,A-Line/10-9.tif,A-Line,A-Line__G10,4,images/0019.png,7b5484c576da6431c21014181d9d2103a7086f1e2e92a185605e8c6e26a92d17,NONE,False,
20,A-Line/2-1.tif,A-Line,A-Line__G02,0,images/0020.png,b0db6d5ba3a6a562ae7148c48dc8b27b68edcf3adacefd90ee6c54421ad28614,NONE,False,
21,A-Line/2-10.tif,A-Line,A-Line__G02,0,images/0021.png,19846a0c89187842b7b3918ef940dbad9e366c52cb95ac10dfb27eb9a1df1dc8,NONE,False,
22,A-Line/2-2.tif,A-Line,A-Line__G02,0,images/0022.png,287a555fa2c1e31ba0e540355613961393c95e4f45678232a2de99695287d186,NONE,False,
23,A-Line/2-3.tif,A-Line,A-Line__G02,0,images/0023.png,b803c6155be0d38eb6b2715634890815ea554a7ab16c247b6a96fc2738d50df8,NONE,False,
24,A-Line/2-4.tif,A-Line,A-Line__G02,0,images/0024.png,aa8a68f090abd1cc1d09b5b2d13258c329cd18932b3df42e0d538df677de1a4b,NONE,False,
25,A-Line/2-5.tif,A-Line,A-Line__G02,0,images/0025.png,6dd8540331b7da32b3e8bba283764f10ae293928f80eb2a574facc448b73ba38,NONE,False,
26,A-Line/2-6.tif,A-Line,A-Line__G02,0,images/0026.png,4d64aa457600b2db2ba420d668bdc9f97b830309758ca2059c09d36b822c979f,NONE,False,
27,A-Line/2-7.tif,A-Line,A-Line__G02,0,images/0027.png,5173fea6e3d39b5da3c10c1de3a62413207118690175e0e7120329fafb316d36,NONE,False,
28,A-Line/2-8.tif,A-Line,A-Line__G02,0,images/0028.png,bda2d33598b55cbab22eaa968d6904969e4f55d1309af94eb1ead76a9d881706,NONE,False,
29,A-Line/2-9.tif,A-Line,A-Line__G02,0,images/0029.png,043feb87f6a3b8b6c23abf54b7c53023b4897ca1f93727609718ae51bbe476eb,NONE,False,
30,A-Line/3-1.tif,A-Line,A-Line__G03,1,images/0030.png,39aa7f2f8f31a015929b3fd787211041e3bbeabc3b1d9ec3f74ec6c90db7bd0b,NONE,False,
31,A-Line/3-10.tif,A-Line,A-Line__G03,1,images/0031.png,29363e453b2f934e4e881fd7a422892e24a17f80c324255b4210981c490372d2,NONE,False,
32,A-Line/3-2.tif,A-Line,A-Line__G03,1,images/0032.png,e2a19b72a03c06995c3d049a8b6b6a441501b7d914e7f868969436b3332defcb,NONE,False,
33,A-Line/3-3.tif,A-Line,A-Line__G03,1,images/0033.png,8bdbf3c8f1e20e76383d020a27a65ff52fc3a3a28116a5f6a98ce4aa19b7a972,NONE,False,
34,A-Line/3-4.tif,A-Line,A-Line__G03,1,images/0034.png,190492e1b6ff0c9b314b8ff542a79090bc886d54720fee047bd5e9e55af7d7c1,NONE,False,
35,A-Line/3-5.tif,A-Line,A-Line__G03,1,images/0035.png,81bd0aa6b51f1101bb2662e33f650a50b524a08c2d085685a51268da3cc9aa9c,NONE,False,
36,A-Line/3-6.tif,A-Line,A-Line__G03,1,images/0036.png,1393bff512cc622591f924b55885747033d0e6b0c7a68d734c153d7e7a2d7a3b,NONE,False,
37,A-Line/3-7.tif,A-Line,A-Line__G03,1,images/0037.png,902755583f5f54f8409017b7f29c08a454fd7b4d4674efc5b73d7e09ee47c77d,NONE,False,
38,A-Line/3-8.tif,A-Line,A-Line__G03,1,images/0038.png,5929ac3e44733bbd1da77dd56af1917e1358c6154f1c84dc92bc6c813e0344d2,NONE,False,
39,A-Line/3-9.tif,A-Line,A-Line__G03,1,images/0039.png,4726d61ce99be2b2478296afdddd7dacfdb80321cc2bab76dbca2b6a02d56fda,NONE,False,
40,A-Line/4-1.tif,A-Line,A-Line__G04,1,images/0040.png,d5ab063014583f7648b1d9ab8b7d881bc56233247160125202e7cca428285f7d,NONE,False,
41,A-Line/4-10.tif,A-Line,A-Line__G04,1,images/0041.png,811d603a27715bfd1b71391a679df6532ec012a7efd69a5535a09b05bee47c1a,NONE,False,
42,A-Line/4-2.tif,A-Line,A-Line__G04,1,images/0042.png,219017dc3bb8e5e0b8c3486d2ce1bbc47013860307c67bf5a97995d82e27ed57,NONE,False,
43,A-Line/4-3.tif,A-Line,A-Line__G04,1,images/0043.png,79f761bd57be869e05886e509b340ad1dbe21fba7804deca7948c163c5e46af7,NONE,False,
44,A-Line/4-4.tif,A-Line,A-Line__G04,1,images/0044.png,d4b6c31c6afb47150a633e62bf8166f2228be6266dac4b1463bd5d55d20e77a2,NONE,False,
45,A-Line/4-5.tif,A-Line,A-Line__G04,1,images/0045.png,7bc0d6f1ef069939021236de945d7b7b1810e8aee40daae0e7b87382f4d4f393,NONE,False,
46,A-Line/4-6.tif,A-Line,A-Line__G04,1,images/0046.png,4aeced615040e2805ce155e5161a19a015d7e020a4b2a3eff6637ec21152de2c,NONE,False,
47,A-Line/4-7.tif,A-Line,A-Line__G04,1,images/0047.png,6a3cfedc83016b2946aeed1be12f3f7bceea7aac4a3abbf397acf832eb53c6e8,NONE,False,
48,A-Line/4-8.tif,A-Line,A-Line__G04,1,images/0048.png,e2a2f5d3a7494bfe6dfe15bc489fdacc26a6a664013384ee94ece37674d7a5d7,NONE,False,
49,A-Line/4-9.tif,A-Line,A-Line__G04,1,images/0049.png,1828a4126ec5ebff1ccf124ec65a8cfa924d94730a288cb31906cca9745f696e,NONE,False,
50,A-Line/5-1.tif,A-Line,A-Line__G05,2,images/0050.png,7af88b9d9e65acd99360c3a3be24b9d12b78aa51b262e3611ae12011362f6e7c,NONE,False,
51,A-Line/5-10.tif,A-Line,A-Line__G05,2,images/0051.png,9ee8301f31d85f3ad6606d25bd283c25668512c080f3769d4603569d24b06f16,NONE,False,
52,A-Line/5-2.tif,A-Line,A-Line__G05,2,images/0052.png,beec7d9fc386844a01185466d0dd54ff1e4a2d1be75ebcea6bb44e9747f262ad,NONE,False,
53,A-Line/5-3.tif,A-Line,A-Line__G05,2,images/0053.png,0a6ba7157be682d1a852b7017a58b2460089d4b8be40dc997273e511f62b49c7,NONE,False,
54,A-Line/5-4.tif,A-Line,A-Line__G05,2,images/0054.png,fff650723109368ba43608da33d74274046bc492791a7bc132bb3de052f35778,NONE,False,
55,A-Line/5-5.tif,A-Line,A-Line__G05,2,images/0055.png,d8fbdb8f86de418a071b7012251f45a21cccd3d2fbac4acfeec7b09a58a8d247,NONE,False,
56,A-Line/5-6.tif,A-Line,A-Line__G05,2,images/0056.png,1f12b82db516a5186f55c5dc882ec80b4ce581062d138b83ac8f8ed4c17cbd6b,NONE,False,
57,A-Line/5-7.tif,A-Line,A-Line__G05,2,images/0057.png,9c026bbd392509d49dc3e49452e9a5757fcdcabd86e7c17e75e6817b8ee0dabc,NONE,False,
58,A-Line/5-8.tif,A-Line,A-Line__G05,2,images/0058.png,1a9350477c2f326e3cc24640c8c4b7d900bf72b2e0f60e3289fa3e5d8f8e38ab,NONE,False,
59,A-Line/5-9.tif,A-Line,A-Line__G05,2,images/0059.png,ff784147044368dbcb3fcb784de6f9bd7d7654c8146ac15f0111fd3d0fb6c9e8,NONE,False,
60,A-Line/6-1.tif,A-Line,A-Line__G06,2,images/0060.png,9448ec58c8bbbb7efa93426aa85c3dc1a6bde4eb9bfdc0cb60314c2e002f1a08,NONE,False,
61,A-Line/6-10.tif,A-Line,A-Line__G06,2,images/0061.png,5bdfbe5ad0542545098237375429f6199d07e231b12a0c8e2a6f1030e7f57d3b,NONE,False,
62,A-Line/6-2.tif,A-Line,A-Line__G06,2,images/0062.png,a08077c82aef2af1840755bef3fa36a26111f42eb0f67b928e952addcb433e23,NONE,False,
63,A-Line/6-3.tif,A-Line,A-Line__G06,2,images/0063.png,dc26ed04b31e8361a720b3e7ccabb9b628c47b6c4d1d554f8741031f67bbe512,NONE,False,
64,A-Line/6-4.tif,A-Line,A-Line__G06,2,images/0064.png,b753e74638978cb3c5d393da8e1ac7339680790dfcb19c1fba1155a1dac0920b,NONE,False,
65,A-Line/6-5.tif,A-Line,A-Line__G06,2,images/0065.png,1a017ed3b6f090e84b7b2a02ef3da2726d0c5ab8a9b6280d683597f415bee78b,NONE,False,
66,A-Line/6-6.tif,A-Line,A-Line__G06,2,images/0066.png,7cdd020108a2071ee7ceb8f21b2fa26fb1b930658752cefe4ebbc7093ad752af,NONE,False,
67,A-Line/6-7.tif,A-Line,A-Line__G06,2,images/0067.png,81d47862868d52c470a6ef147938da6915cfa95ea758a33d00b8f2062762d51f,NONE,False,
68,A-Line/6-8.tif,A-Line,A-Line__G06,2,images/0068.png,6482d0263d18d88aee121c13879d28104c0a0e55937214f392fe7a83049a3443,NONE,False,
69,A-Line/6-9.tif,A-Line,A-Line__G06,2,images/0069.png,78c98ce268a484d1a50932ffbfd72a320a66378da28b3d9fee2c1664eac69505,NONE,False,
70,A-Line/7-1.tif,A-Line,A-Line__G07,3,images/0070.png,d58d71be3726bce4541c5bcb7fce986887ffa063794367164d864d869a494b82,NONE,False,
71,A-Line/7-10.tif,A-Line,A-Line__G07,3,images/0071.png,7035e15394f29c8d09366535f5debd2a8ea01815fdc9f2b841dd8bea8637148e,NONE,False,
72,A-Line/7-2.tif,A-Line,A-Line__G07,3,images/0072.png,f0355e622b41540a101400cdc5a852c1b81a8ba781dfd8f389161ef1ed9f53f5,NONE,False,
73,A-Line/7-3.tif,A-Line,A-Line__G07,3,images/0073.png,caa8ad8c779c981c9ade2aaa5d5f923bd6c39c4950121fa99a8299ba6a18b4a6,NONE,False,
74,A-Line/7-4.tif,A-Line,A-Line__G07,3,images/0074.png,6ced96a602e27bd46d330188e86f5b3075e0643d1c623106178c1c77f348aafa,NONE,False,
75,A-Line/7-5.tif,A-Line,A-Line__G07,3,images/0075.png,e6202a6f08f86a728b7a5ce21709faac0ba2f18ba82d6fada99d51b35b80e4a0,NONE,False,
76,A-Line/7-6.tif,A-Line,A-Line__G07,3,images/0076.png,f8af64b20b02c1827ea8687e59268a1b983a41bea04f548a307fcca1cca6a8a4,NONE,False,
77,A-Line/7-7.tif,A-Line,A-Line__G07,3,images/0077.png,b322c9e1773a510f2894a7abcdf4d4bc2cdeb28037feec5883338c8f57355071,NONE,False,
78,A-Line/7-8.tif,A-Line,A-Line__G07,3,images/0078.png,622f8ff0675b91a2edea922b5e944058aa33107dccb4d6671fe74fa8ab348091,NONE,False,
79,A-Line/7-9.tif,A-Line,A-Line__G07,3,images/0079.png,139861b2a4b057d39bac5d55f38708927a1f9246ffbe41bd41b895d20a54ef63,NONE,False,
80,A-Line/8-1.tif,A-Line,A-Line__G08,3,images/0080.png,d42e9722fa5c4a605955d2d3b8dd01b24b505852b0773c654190b0352ff092bb,NONE,False,
81,A-Line/8-10.tif,A-Line,A-Line__G08,3,images/0081.png,646db80a0ec8863caf8119df371a499e791f6eec3bbfd9d77cf3bfa56d52bbbf,NONE,False,
82,A-Line/8-2.tif,A-Line,A-Line__G08,3,images/0082.png,2366755a6587a0d193e6a0920a5690cef5ba5db6c5363c20414f1d2140028e15,NONE,False,
83,A-Line/8-3.tif,A-Line,A-Line__G08,3,images/0083.png,eb2f413a6405321287dff06393db1e194678095345f66925bb17cb9e21f5a1e1,NONE,False,
84,A-Line/8-4.tif,A-Line,A-Line__G08,3,images/0084.png,bf9e43c02c51708c1e6e312d1785c9ea7ef928a549428d17031df7147106544e,NONE,False,
85,A-Line/8-5.tif,A-Line,A-Line__G08,3,images/0085.png,8b7e13790e009f91e5b78ec93cd44804805fd83536f15bf1f8fd230c7ef210ed,NONE,False,
86,A-Line/8-6.tif,A-Line,A-Line__G08,3,images/0086.png,6495e9008f6f0687f4f2f10eb615b13a3eba8e5a71294644545707a6939d46ae,NONE,False,
87,A-Line/8-7.tif,A-Line,A-Line__G08,3,images/0087.png,72672d0ce42dc350a4798c106fbae7740924bb17dd76646c726b2679b55eb93e,NONE,False,
88,A-Line/8-8.tif,A-Line,A-Line__G08,3,images/0088.png,9f9fac6eb7a9c852ba3c3613aa5a58ad42d78cb2f913ae8d6b0c4d1ccba2448e,NONE,False,
89,A-Line/8-9.tif,A-Line,A-Line__G08,3,images/0089.png,9b747f74958e8bb9e56aa667dfaf78b14f2d1edb24be5a0f263468ec013e5e46,NONE,False,
90,A-Line/9-1.tif,A-Line,A-Line__G09,4,images/0090.png,87c6369f5353d2515b5e54ce8bfaab23fd0eeb6e186fcf6cf13a54c0d753c686,NONE,False,
91,A-Line/9-10.tif,A-Line,A-Line__G09,4,images/0091.png,f274d1dd73ef12478347267abf65b387b34344daf4410f890fd8c441472e7fac,NONE,False,
92,A-Line/9-2.tif,A-Line,A-Line__G09,4,images/0092.png,a2897a7ed61d9a1c8c7d58e2a5f31b06defef6a3c1a3927cf5713655e6bdcd24,NONE,False,
93,A-Line/9-3.tif,A-Line,A-Line__G09,4,images/0093.png,7d9e863e1861bd2a7d1ccfd6b358926adf0ed8a9e8d096ef2275e348e0c092ca,NONE,False,
94,A-Line/9-4.tif,A-Line,A-Line__G09,4,images/0094.png,38e9fc9d1664244c6638780dce598ff2e1718270411f921d012471d9cee4ac2e,NONE,False,
95,A-Line/9-5.tif,A-Line,A-Line__G09,4,images/0095.png,202584b235e521a2081c2275a39dad1ff3bd7dd5e26a57e3af97f359f41baa5e,NONE,False,
96,A-Line/9-6.tif,A-Line,A-Line__G09,4,images/0096.png,cc875b1208c2858161f403a627d0e33553eee2cd7dd3394f641cf3d712cd5676,NONE,False,
97,A-Line/9-7.tif,A-Line,A-Line__G09,4,images/0097.png,ca87f320a2777160854d4e5d024b65616c9451d29d553c620848a5ec94ee12c2,NONE,False,
98,A-Line/9-8.tif,A-Line,A-Line__G09,4,images/0098.png,ba1a4140210e4acb2418c73340e2c6527b7695303b2109777a55ced5fc1fb5e7,NONE,False,
99,A-Line/9-9.tif,A-Line,A-Line__G09,4,images/0099.png,28f62f2d8cf5032315cedb95002e03b57e56b9780fc35ec67a1bcca9694595bb,NONE,False,
100,Bermuda/1-1.tif,Bermuda,Bermuda__G01,0,images/0100.png,843eb31f10f6d08015970fe119eb6a8352887dafd42bad9b37fdf83aa768a884,NONE,False,
101,Bermuda/1-10.tif,Bermuda,Bermuda__G01,0,images/0101.png,c04a01baacc006cdf887ab089a2a9852d4d391d693a8bb6eaca2c6bcae7f723d,NONE,False,
102,Bermuda/1-2.tif,Bermuda,Bermuda__G01,0,images/0102.png,32aa071f3dfc87a45b7d7f71a5e8f2cea2fc9d1c816cf373f7d7cadde956d1bc,NONE,False,
103,Bermuda/1-3.tif,Bermuda,Bermuda__G01,0,images/0103.png,b3aa832730df73b0ed269522a9d3a3775f3bc80831aa309be62a2a7b7d20fa61,NONE,False,
104,Bermuda/1-4.tif,Bermuda,Bermuda__G01,0,images/0104.png,18e0d2059faa9068d7f02461e2e2e527c0136bc31ca44e02167ca0222e37bc31,NONE,False,
105,Bermuda/1-5.tif,Bermuda,Bermuda__G01,0,images/0105.png,1590bf7b1affa6807b65310b1d9461ffe6b52dc61ff0427c844ba5429f08b5ac,NONE,False,
106,Bermuda/1-6.tif,Bermuda,Bermuda__G01,0,images/0106.png,e5a6f091548599eb883a4bc3862dfe002e032e793ab2a9aaa2d8b1722e18b5df,NONE,False,
107,Bermuda/1-7.tif,Bermuda,Bermuda__G01,0,images/0107.png,c2d83fe533a41fe99e6d67ffd882992f23a990841eaee525b78745f160822812,NONE,False,
108,Bermuda/1-8.tif,Bermuda,Bermuda__G01,0,images/0108.png,68d8b8892f5c6cfdad2cf8470b7c687ada4deea884e4c7b9be1ffdae0c055b53,NONE,False,
109,Bermuda/1-9.tif,Bermuda,Bermuda__G01,0,images/0109.png,16b4b107cd11383fea92f457e96f906d694ce8fc75cb301a311501e3cf7146b8,NONE,False,
110,Bermuda/10-1.tif,Bermuda,Bermuda__G10,4,images/0110.png,f9f5b87bfdc60de78f41c9b6335d5354fa7c63bbc8c5e88bf04427805d233395,NONE,False,
111,Bermuda/10-10.tif,Bermuda,Bermuda__G10,4,images/0111.png,558f166e32b58c05aa5a5e5dab369c0d7d07959620c7e5a7aaee3c8ab0829606,NONE,False,
112,Bermuda/10-2.tif,Bermuda,Bermuda__G10,4,images/0112.png,1c921478d5c0a81745aefe354a18c45fcb6f343408fdf75243b66085f9543e8e,NONE,False,
113,Bermuda/10-3.tif,Bermuda,Bermuda__G10,4,images/0113.png,1a6f652ef60327cef80f6c231032f6f6ea679e7945c5b677113515dae97aedff,NONE,False,
114,Bermuda/10-4.tif,Bermuda,Bermuda__G10,4,images/0114.png,455f6851675ff55e1ac3c07ee7f074b740c39e495ba972eb9830600044eaeea2,NONE,False,
115,Bermuda/10-5.tif,Bermuda,Bermuda__G10,4,images/0115.png,72d04c091a62209ec6001f01264abfa7dca0676d7f816f6c141953f3c39021b4,NONE,False,
116,Bermuda/10-6.tif,Bermuda,Bermuda__G10,4,images/0116.png,599c82c8b0fc5bb8f628572e47c93e30711f0a5784ddc7234c2d879264e263cc,NONE,False,
117,Bermuda/10-7.tif,Bermuda,Bermuda__G10,4,images/0117.png,85bc790dba45887b6390d21060f89a3f706f5aca606afc54a23aa28ac749e92a,NONE,False,
118,Bermuda/10-8.tif,Bermuda,Bermuda__G10,4,images/0118.png,194d073d1e0fe2c291f1202cfa86999ec015988662b579fdb2662d2fb0487fb0,NONE,False,
119,Bermuda/10-9.tif,Bermuda,Bermuda__G10,4,images/0119.png,b82ab124d7e0ed224de903d01223c49a8f14ed5e6b29703397dec768a9e1d732,NONE,False,
120,Bermuda/2-1.tif,Bermuda,Bermuda__G02,0,images/0120.png,479e91ed698de18c14f381d7aeaa4bd3e52deceeb5c51b6079d3a0ae8a1128f9,NONE,False,
121,Bermuda/2-10.tif,Bermuda,Bermuda__G02,0,images/0121.png,1b6d9620ac8320569bdeefe06a321ba90a2dc3c10ed269bb6f55d9824776e9b6,NONE,False,
122,Bermuda/2-2.tif,Bermuda,Bermuda__G02,0,images/0122.png,47f3567833357fa3a3a2ae8a5e5b3d78c0c989cc2e244d81fe9c8858a5d7487a,NONE,False,
123,Bermuda/2-3.tif,Bermuda,Bermuda__G02,0,images/0123.png,4b7cf05b491c6aea899c50acff6a046081876f1206fbbdaba4751e04886ec157,NONE,False,
124,Bermuda/2-4.tif,Bermuda,Bermuda__G02,0,images/0124.png,e5ee268325fd5977ca417995fd8221b774c016da238a4bcb8d6db39a0cb78ac5,NONE,False,
125,Bermuda/2-5.tif,Bermuda,Bermuda__G02,0,images/0125.png,9e617fb3171164e08b87b7b85fe1cbe45599c50ac5a707ef88e1dc127b934a3b,NONE,False,
126,Bermuda/2-6.tif,Bermuda,Bermuda__G02,0,images/0126.png,23b13f3a751f9ff5ab4e1108275451f7e52a1772711967334b71105268d0955f,NONE,False,
127,Bermuda/2-7.tif,Bermuda,Bermuda__G02,0,images/0127.png,60444df8824322416a54a3b15380f533e5fe131a8947944bb19102895afdaf2f,NONE,False,
128,Bermuda/2-8.tif,Bermuda,Bermuda__G02,0,images/0128.png,e2270fa1b7b17d47abb39940bbf7cfa969cf32651199692b5c2a5b05fb46082d,NONE,False,
129,Bermuda/2-9.tif,Bermuda,Bermuda__G02,0,images/0129.png,25282b6787d647072c7ca1d4b596a3bf2f026b87dcd8eee82b6f4bea8798e159,NONE,False,
130,Bermuda/3-1.tif,Bermuda,Bermuda__G03,1,images/0130.png,bdc15a63a221d5ca38775db565402d3f676a7260d9cdf5873d2b0fb6cfd3516c,NONE,False,
131,Bermuda/3-10.tif,Bermuda,Bermuda__G03,1,images/0131.png,7a64daa5fdcacb362ebf7c119d1b8b66deb0b94e103b924637011434a0b240b0,NONE,False,
132,Bermuda/3-2.tif,Bermuda,Bermuda__G03,1,images/0132.png,c5ff5b8caf775c2500fb1d1d45ab02aec2d9c66e1c52b7ff0ea7b1547edf26e4,NONE,False,
133,Bermuda/3-3.tif,Bermuda,Bermuda__G03,1,images/0133.png,d0a242b30ed511f8e29d9a894d824883434fcd24c1ae69272638567c4410d5ad,NONE,False,
134,Bermuda/3-4.tif,Bermuda,Bermuda__G03,1,images/0134.png,e186e14d1199d17d99db371b5d36272514c1c017f060ebe67fdebfc54bf13476,NONE,False,
135,Bermuda/3-5.tif,Bermuda,Bermuda__G03,1,images/0135.png,1d45847790aeae10762b86cd44f28069ea8e0b9859b658c2553ac8ea50b8c9c5,NONE,False,
136,Bermuda/3-6.tif,Bermuda,Bermuda__G03,1,images/0136.png,fce45ff952198af5b8c764eb9d63714dba5da3d3be44ecd17936844a54aed838,NONE,False,
137,Bermuda/3-7.tif,Bermuda,Bermuda__G03,1,images/0137.png,29942d5efeeddfb5edf1c9110ec8efad2d7662260f8b2fb02a242ec6b4a2050d,NONE,False,
138,Bermuda/3-8.tif,Bermuda,Bermuda__G03,1,images/0138.png,a9b0b2c8d3465aef37db96004228fec65425117523bcb8e36bcb6c172dadb435,NONE,False,
139,Bermuda/3-9.tif,Bermuda,Bermuda__G03,1,images/0139.png,37e0c21422a66af3b94a02eb4372cdadac1de3cf1cf520c9394527732578cec6,NONE,False,
140,Bermuda/4-1.tif,Bermuda,Bermuda__G04,1,images/0140.png,fb72df16f4d9d0dce6a5f96700893e491ddf5c21a29e484f38e6745720458552,NONE,False,
141,Bermuda/4-10.tif,Bermuda,Bermuda__G04,1,images/0141.png,9566e87a6d3b36e50c3984ac122bc9f01aaa478f0ec3d650ef841548a67b306e,NONE,False,
142,Bermuda/4-2.tif,Bermuda,Bermuda__G04,1,images/0142.png,31d18bef7c605f38b771e5f2f0b86197ae988a2d34fc65c7a30a3c8292581426,NONE,False,
143,Bermuda/4-3.tif,Bermuda,Bermuda__G04,1,images/0143.png,522ef9061a3f29d4f43e0b5bc658c86c7020f7176feb8ce5ef219c5ac3504d14,NONE,False,
144,Bermuda/4-4.tif,Bermuda,Bermuda__G04,1,images/0144.png,165a0f0b81c8853ecdbefb8affbe30d69de1cd710baa286b9ea5aea21e586c9d,NONE,False,
145,Bermuda/4-5.tif,Bermuda,Bermuda__G04,1,images/0145.png,ae599907968cc31ee088e7d419ea143c16f1f04bad288855e2f3f9f13cc42725,NONE,False,
146,Bermuda/4-6.tif,Bermuda,Bermuda__G04,1,images/0146.png,bd734033439a1069a2ccfc96fcbd3ad757b3f001430a794fd6c6fe69ba7df530,NONE,False,
147,Bermuda/4-7.tif,Bermuda,Bermuda__G04,1,images/0147.png,f04cddd285db96ffafce524a60ad821753544472179f5a828ce9435f89c56b32,NONE,False,
148,Bermuda/4-8.tif,Bermuda,Bermuda__G04,1,images/0148.png,2b011746c9f0812574954e8eacf5475a333aa13722d7a5657d9a0dc4939aa69c,NONE,False,
149,Bermuda/4-9.tif,Bermuda,Bermuda__G04,1,images/0149.png,29f7e4d227474d20b40f9abdbbd19adb5cf58784e8bfdcf082c62f115379f223,NONE,False,
150,Bermuda/5-1.tif,Bermuda,Bermuda__G05,2,images/0150.png,5085cbf88437a2abbde4575c0e1de46399f881d70f5add04f53fc1b6ceea89b7,NONE,False,
151,Bermuda/5-10.tif,Bermuda,Bermuda__G05,2,images/0151.png,885cce4108f8f732335990d7e6f665165cafacf7230c7468d910e562e09a0f6f,NONE,False,
152,Bermuda/5-2.tif,Bermuda,Bermuda__G05,2,images/0152.png,eeaea5293377371108cc0c4f3315317a6076070e4b3e67509c969422a2ac37a1,NONE,False,
153,Bermuda/5-3.tif,Bermuda,Bermuda__G05,2,images/0153.png,a4503a96ad61e2614dd99f3bf58d65d02ac47c6200a7483afc7af32d054b8f55,NONE,False,
154,Bermuda/5-4.tif,Bermuda,Bermuda__G05,2,images/0154.png,4dab4a75be028faffb11035f5fa488660df658e2a79fd35e508693426989a893,NONE,False,
155,Bermuda/5-5.tif,Bermuda,Bermuda__G05,2,images/0155.png,9e8b926bf3c47e3f120fc448b5bf1f3f22507a2039f6257daf3303fed6271b05,NONE,False,
156,Bermuda/5-6.tif,Bermuda,Bermuda__G05,2,images/0156.png,5744e5a3636a04b35d546390ca0023e65d79811da9c32beda91915806ec696b4,NONE,False,
157,Bermuda/5-7.tif,Bermuda,Bermuda__G05,2,images/0157.png,186882a4825f3465a9fba81d06be20bf6577f2a9109d33a04d951d554cfa56f8,NONE,False,
158,Bermuda/5-8.tif,Bermuda,Bermuda__G05,2,images/0158.png,6cbf19ed49dd82133c02c63f5c7fc495b0bf9bd61c9e791f97a86612ad138b76,NONE,False,
